# node id    kappa                theta                r                    x                    y                    z                    name                          
196          45.5222              5.10844              6.95983              185.751633987        133.820261438        25.0163398693        lh_lateraloccipital_1_1       
197          20.8967              5.13946              8.51705              157.234122042        138.764632628        12.6388542964        lh_fusiform_1_1               
198          135.511              5.17471              4.77812              90.6787142857        134.367428571        35.2365714286        lh_putamen                    
199          39.0561              5.21361              7.26623              185.409032258        125.40516129         8.30580645161        lh_lateraloccipital_1_2       
200          46.4285              5.24288              6.9204               30.6481271283        133.592508513        42.6640181612        lh_rostralmiddlefrontal_3_6   
201          46.5416              5.26044              6.91553              95.3968531469        144.377622378        36.9405594406        lh_insula_1_2                 
202          32.3075              5.26482              7.64563              170.466341463        123.579512195        12.0507317073        lh_lingual_1_1                
203          27.794               5.28519              7.94658              63.7200854701        143.533119658        34.9273504274        lh_lateralorbitofrontal_1_2   
204          33.5681              5.29464              7.56908              52.1277860327        153.643387816        34.1812778603        lh_parsorbitalis_1_1          
205          24.5254              5.37942              8.1968               80.8888888889        143.384479718        33.8342151675        lh_insula_2_3                 
206          19.3135              5.43182              8.67462              64.8462603878        133.840720222        24.7299168975        lh_lateralorbitofrontal_1_1   
207          48.7443              5.45087              6.82305              36.2994555354        125.863883848        30.4918330309        lh_lateralorbitofrontal_2_4   
208          59.2393              5.47187              6.43306              50.4288964733        132.733788396        31.1183162685        lh_lateralorbitofrontal_2_3   
209          31.8644              5.49588              7.67325              71.3483412322        140.31042654         5.81990521327        lh_temporalpole_1_1           
210          69.2907              5.54068              6.11961              87.2646420824        153.544468547        3.40780911063        lh_inferiortemporal_1_1       
211          13.847               5.59307              9.34009              159.520097442        122.755176614        16.1412911084        lh_lingual_1_2                
212          67.1101              5.6198               6.18356              76.684676705         153.266607617        16.9636846767        lh_superiortemporal_2_5       
213          20.7797              5.62291              8.52827              139.89822294         130.05815832         19.8949919225        lh_lingual_2_4                
214          42.6769              5.67604              7.08891              151.423952096        123.610778443        22.8706586826        lh_lingual_2_3                
215          73.0259              5.68375              6.0146               186.837431694        127.75               40.6967213115        lh_superiorparietal_3_7       
216          35.5258              5.69605              7.45571              176.242444594        120.436534587        33.7273337811        lh_cuneus_1_1                 
217          60.7072              5.70426              6.3841               172.928571429        123.003210273        22.6340288925        lh_pericalcarine_1_1          
218          41.4447              5.7766               7.14751              91.5552256532        133.447149644        16.9168646081        lh_amygdala                   
219          19.7747              5.78524              8.62742              117.263871763        133.393341554        13.0184956843        lh_parahippocampal_1_1        
220          4.46416              5.79391              11.6041              91.6632825719        134.583756345        7.40947546531        lh_entorhinal_1_1             
221          46.8058              5.82323              6.90421              112.060594512        134.754382622        18.9822789634        lh_hyppocampus                
222          45.1824              5.88893              6.97481              156.580550098        125.610019646        35.9302554028        lh_precuneus_2_5              
223          41.4856              5.9654               7.14553              189.162721893        104.224852071        32.4723865878        rh_cuneus_1_2                 
224          37.2503              6.04165              7.36091              173.981521739        100.117391304        25.9630434783        rh_pericalcarine_1_1          
225          57.2386              6.05253              6.50177              149.475578406        94.9074550129        22.7692802057        rh_lingual_2_3                
226          22.0028              6.05312              8.41389              164.950060901        103.144945189        16.0828258222        rh_lingual_1_2                
227          54.4424              6.06408              6.60194              183.009057971        104.201086957        18.5887681159        rh_pericalcarine_1_2          
228          15.4793              6.14591              9.11722              90.2845953003        85.4673629243        7.72323759791        rh_entorhinal_1_1             
229          19.6962              6.15484              8.63538              120.24106113         88.5847750865        15.446366782         rh_parahippocampal_1_1        
230          69.5251              6.16466              6.11285              112.459754695        86.8227290149        20.144883097         rh_hyppocampus                
231          32.9178              6.18439              7.6082               159.659504132        93.441322314         37.3966942149        rh_precuneus_1_1              
232          16.7911              6.22094              8.95453              168.592885375        103.17259552         32.7312252964        rh_cuneus_1_1                 
